Year,Surface air temperature,Surface air temperature 10-year average,Sea-surface temperature ,Sea-surface temperature 10-year average
1910,-0.4,,-0.31,
1911,-0.56,,-0.49,
1912,-0.09,,-0.42,
1913,-0.74,,-0.53,
1914,0.22,,-0.38,
1915,0.2,-0.35,-0.16,-0.33
1916,-0.47,-0.36,-0.2,-0.33
1917,-1.15,-0.32,-0.35,-0.296
1918,-0.45,-0.35,-0.16,-0.277
1919,-0.08,-0.31,-0.3,-0.268
1920,-0.5,-0.39,-0.31,-0.255
1921,-0.17,-0.48,-0.15,-0.299
1922,-0.4,-0.45,-0.23,-0.321
1923,-0.27,-0.38,-0.44,-0.328
1924,-0.6,-0.31,-0.25,-0.338
1925,-0.71,-0.38,-0.6,-0.373
1926,-0.14,-0.35,-0.42,-0.397
1927,-0.47,-0.39,-0.42,-0.421
1928,0.21,-0.39,-0.26,-0.444
1929,-0.77,-0.4,-0.65,-0.436
1930,-0.21,-0.36,-0.55,-0.445
1931,-0.57,-0.33,-0.39,-0.429
1932,-0.32,-0.32,-0.46,-0.426
1933,-0.38,-0.3,-0.36,-0.425
1934,-0.28,-0.3,-0.34,-0.414
1935,-0.38,-0.27,-0.44,-0.393
1936,-0.06,-0.26,-0.39,-0.375
1937,-0.26,-0.25,-0.41,-0.354
1938,0.28,-0.2,-0.15,-0.298
1939,-0.49,-0.22,-0.44,-0.26
1940,-0.13,-0.22,-0.37,-0.233
1941,-0.47,-0.2,-0.18,-0.182
1942,0.14,-0.26,0.1,-0.171
1943,-0.54,-0.25,0.02,-0.175
1944,-0.27,-0.32,-0.07,-0.195
1945,-0.19,-0.36,0.07,-0.186
1946,-0.63,-0.4,-0.28,-0.156
1947,-0.22,-0.38,-0.45,-0.178
1948,-0.41,-0.42,-0.35,-0.218
1949,-0.85,-0.4,-0.35,-0.259
1950,-0.51,-0.4,-0.07,-0.287
1951,-0.31,-0.41,-0.4,-0.318
1952,-0.31,-0.43,-0.3,-0.305
1953,-0.33,-0.4,-0.39,-0.289
1954,-0.28,-0.34,-0.35,-0.259
1955,-0.24,-0.22,-0.24,-0.228
1956,-0.84,-0.23,-0.15,-0.239
1957,0.1,-0.19,-0.29,-0.21
1958,0.19,-0.16,-0.05,-0.176
1959,0.31,-0.14,-0.04,-0.15
1960,-0.58,-0.12,-0.18,-0.133
1961,0.09,-0.07,-0.11,-0.159
1962,-0.03,-0.04,0.04,-0.183
1963,-0.07,-0.06,-0.13,-0.177
1964,-0.16,-0.12,-0.18,-0.206
1965,0.29,-0.15,-0.5,-0.208
1966,-0.49,-0.1,-0.39,-0.183
1967,-0.19,-0.13,-0.23,-0.177
1968,-0.38,-0.11,-0.34,-0.195
1969,0,-0.06,-0.06,-0.162
1970,-0.08,-0.11,0.07,-0.142
1971,-0.21,-0.16,-0.05,-0.084
1972,0.15,-0.19,-0.14,-0.049
1973,0.5,-0.17,0.2,-0.033
1974,-0.72,-0.16,0.02,0.013
1975,-0.22,-0.13,0.08,0.023
1976,-0.72,-0.05,-0.04,0.017
1977,-0.02,-0.01,-0.07,0.027
1978,-0.31,-0.03,0.12,0.029
1979,0.33,-0.05,0.04,0.029
1980,0.69,-0.03,0.01,0.042
1981,0.23,0.01,0.05,0.058
1982,-0.07,0.1,-0.12,0.066
1983,0.28,0.12,0.2,0.076
1984,-0.44,0.22,0.15,0.108
1985,0.15,0.18,0.24,0.141
1986,0.17,0.15,0.04,0.166
1987,0.13,0.18,0.03,0.168
1988,0.69,0.2,0.44,0.185
1989,-0.06,0.2,0.37,0.154
1990,0.43,0.25,0.26,0.137
1991,0.56,0.25,0.07,0.133
1992,0.07,0.29,0.05,0.157
1993,0.25,0.29,-0.11,0.164
1994,0.14,0.31,-0.02,0.181
1995,0.12,0.33,0.2,0.187
1996,0.52,0.28,0.28,0.196
1997,0.2,0.21,0.1,0.229
1998,0.85,0.27,0.61,0.261
1999,0.2,0.3,0.43,0.304
2000,-0.15,0.33,0.35,0.326
2001,-0.06,0.42,0.4,0.345
2002,0.6,0.41,0.37,0.335
2003,0.6,0.45,0.32,0.357
2004,0.43,0.4,0.2,0.327
2005,1.03,0.46,0.39,0.324
2006,0.39,0.5,0.18,0.352
2007,0.63,0.49,0.32,0.362
2008,0.34,0.44,0.31,0.372
2009,0.81,0.5,0.4,0.4
2010,0.2,0.55,0.63,0.435
2011,-0.13,0.53,0.5,0.455
2012,0.12,,0.47,
2013,1.2,,0.6,
2014,0.91,,0.55,
2015,0.83,,0.59,
